word,mean,explanation,level
"自己誘導起電力","$V = -L \frac{di}{dt}$","自分自身に流れる電流が変化したとき、その変化を邪魔するようにコイル自らが発生させる電圧です。",1
"コイルのエネルギー","$U = \frac{1}{2}LI^2$","電流が流れることでコイル内部に形成された磁界の中に蓄えられているエネルギーです。",1
"変圧器の巻数比","$\frac{V_1}{V_2} = \frac{N_1}{N_2}$","理想的な変圧器では、電圧の比はコイルの巻き数の比に正確に比例します。",1
"実効値（電圧）","$V_{rms} = \frac{V_m}{\sqrt{2}}$","交流電圧の瞬時値の2乗平均の平方根。直流と同じ仕事（発熱）をさせるために必要な電圧の指標です。",1
"共振周波数","$f = \frac{1}{2\pi \sqrt{LC}}$","コイルの誘導性リアクタンスとコンデンサの容量性リアクタンスが打ち消し合い、電流が最大になる周波数です。",1
"ポインティングベクトル","$\mathbf{S} = \mathbf{E} \times \mathbf{H}$","電磁波が進行方向に運ぶエネルギーの流束密度。電界 $\mathbf{E}$ と磁界 $\mathbf{H}$ の外積で定義されます。",2
"マクスウェル方程式(1)","$\nabla \cdot \mathbf{D} = \rho$","電界の発散は電荷密度に等しい。電荷が電界の『源泉』または『吸収源』であることを示します。",2
"マクスウェル方程式(2)","$\nabla \cdot \mathbf{B} = 0$","磁界の発散は常にゼロ。磁力線には始まりも終わりもなく、必ずループしており、単一磁極は存在しません。",2
"マクスウェル方程式(3)","$\nabla \times \mathbf{E} = -\frac{\partial \mathbf{B}}{\partial t}$","磁場の時間変化が、その周囲に渦巻くような電界を生み出す（電磁誘導）ことを示します。",2
"マクスウェル方程式(4)","$\nabla \times \mathbf{H} = \mathbf{j} + \frac{\partial \mathbf{D}}{\partial t}$","電流だけでなく、電場の変化（変位電流）も磁場を生み出すことを示したマクスウェル最大の貢献です。",2
"変位電流密度","$\mathbf{j}_d = \frac{\partial \mathbf{D}}{\partial t}$","コンデンサの極板間など、電荷の移動がなくても電束密度が変化すれば磁場が発生するという概念です。",2
"真空の誘電率","$\varepsilon_0 \approx 8.854 \times 10^{-12}$","真空中で電荷がどれだけ電界を作りやすいかを表す定数。光速や透磁率とも深く関連します。",1
"真空の透磁率","$\mu_0 = 4\pi \times 10^{-7}$","真空中で磁束がどれだけ通りやすいかを表す定数。電流の定義の基準にもなっています。",1
"比誘電率","$\varepsilon_r = \frac{\varepsilon}{\varepsilon_0}$","真空と比較して、その物質（誘電体）がどれだけ電気を分極して蓄えやすいかを示す倍率です。",1
"電束密度","$\mathbf{D} = \varepsilon \mathbf{E}$","物質中の電界の様子を表す量。物質の分極による影響（誘電率）を考慮した電界の指標です。",2
"磁界の強さ","$\mathbf{H} = \frac{\mathbf{B}}{\mu}$","電流によって生み出される磁気的な力。物質の磁化による影響を排除して磁界を記述する際に用います。",1
"静電力の単位",ニュートン [N],"2つの電荷が引き合ったり退け合ったりする力の大きさを表す物理単位です。",1
"電荷の単位",クーロン [C],"電気の量を表す単位。1Aの電流が1秒間に運ぶ電荷の総量が1Cです。",1
"電圧の単位",ボルト [V],"電気的な位置エネルギーの差（電位差）。1Cの電荷が1Jの仕事をする能力を持つときが1Vです。",1
"静電容量の単位",ファラド [F],"コンデンサが電荷を蓄える能力。1Vの電圧で1Cの電荷を貯められると1Fになります。",1
"抵抗の単位",オーム [$\Omega$],"電流の流れにくさ。1Vの電圧を加えたときに1Aの電流が流れる導体の抵抗が1$\Omega$です。",1
"磁束密度の単位",テスラ [T],"単位面積あたりを通過する磁束の強さ。磁界の影響力の密度を表します。",1
"磁束の単位",ウェーバ [Wb],"磁界の全エネルギー流を表す単位。1秒間に1Wbの磁束が消滅すると1Vの誘導電圧が生じます。",1
"インダクタンスの単位",ヘンリー [H],"電流の変化に対してどれだけ誘導電圧を生じやすいかを示す指標。1A/sの変化で1V生じれば1Hです。",1
"電気双極子モーメント","$\mathbf{p} = q\mathbf{d}$","大きさが同じで符号が反対の2つの電荷が離れている状態。物質の分極の強さを表すベクトル量です。",2
"磁気モーメント","$\mathbf{m} = IS\mathbf{n}$","電流ループが磁石として振る舞う強さ。電流 $I$ とループ面積 $S$ の積で決まります。",2
"分極ベクトル","$\mathbf{P} = (\varepsilon_r - 1) \varepsilon_0 \mathbf{E}$","誘電体に電界を加えた際、内部の正負電荷が微小にずれて生じる電気双極子の密度です。",2
"磁化ベクトル","$\mathbf{M} = (\mu_r - 1) \mathbf{H}$","磁性体に磁界を加えた際、内部の原子磁石（スピンなど）が一定方向に揃う強さを表します。",2
"電気感受率","$\chi_e = \varepsilon_r - 1$","物質が外部電界に対してどれだけ『敏感に』分極を起こすかを表す無次元の係数です。",2
"磁気感受率","$\chi_m = \mu_r - 1$","物質が外部磁界に対してどれだけ『敏感に』磁化されるかを表す無次元の係数です。",2
"導電率（電気伝導率）","$\sigma = \frac{1}{\rho}$","物質の電気の流しやすさ。抵抗率 $\rho$ の逆数であり、金属などで大きな値をとります。",1
"電流密度（微分形オーム）","$\mathbf{j} = \sigma \mathbf{E}$","各点における電流の流れ。電界の強さと物質の流しやすさ（導電率）の積で決まるという法則です。",2
"時定数（RC回路）","$\tau = RC$","コンデンサの充電・放電において、電圧が目標値の約63.2%に達するまでの時間目安です。",2
"時定数（RL回路）","$\tau = \frac{L}{R}$","コイルに流れる電流が変化する際、定常状態の約63.2%に達するまでの時間目安です。",2
"有効電力","$P = VI \cos \phi$","交流回路において、実際に熱や力学的な仕事として消費される真の電力です。",1
"無効電力","$Q = VI \sin \phi$","電源と負荷の間を行ったり来たりするだけで、仕事には寄与しない電力。磁界や電界の形成に使われます。",1
"皮革電力","$S = VI$","電圧の実効値と電流の実効値の単純な積。回路や機器が耐えるべき総電力の容量を表します。",1
"力率","$\cos \phi$","皮革電力（見かけの電力）のうち、何割が有効に使われたかを示す効率の指標です。",1
"アドミタンス","$Y = \frac{1}{Z}$","交流の『流れやすさ』を表す量。インピーダンス $Z$ の逆数で、並列回路の計算に便利です。",2
"コンダクタンス","$G = \frac{1}{R}$","直流の『流れやすさ』。抵抗の逆数。並列に繋ぐほど全体の $G$ は単純加算で増えていきます。",1
"サセプタンス","$B$","交流の流れやすさ（アドミタンス）のうち、コイルやコンデンサによる虚数成分。エネルギーを消費しません。",2
"コイルのリアクタンス","$X_L = \omega L$","コイルが交流に対して持つ抵抗成分。周波数 $\omega$ が高いほど、変化を拒む性質が強く出て通りにくくなります。",1
"コンデンサのリアクタンス","$X_C = \frac{1}{\omega C}$","コンデンサが交流に対して持つ抵抗成分。周波数が高いほど、充放電が頻繁になり通りやすくなります。",1
"角周波数","$\omega = 2\pi f$","1秒間に回転する位相の角度（ラジアン）。交流の速さを円運動の回転速度として捉えたものです。",1
"波長","$\lambda = \frac{v}{f}$","電磁波が1周期の間に進む距離。速度を周波数で割ることで、空間的な波の長さが得られます。",1
"波数","$k = \frac{2\pi}{\lambda}$","空間的な位相の変化率。2πの距離の中に波がいくつ含まれるか、という指標です。",2
"電磁波の速さ（真空）","$c = \frac{1}{\sqrt{\varepsilon_0 \mu_0}}$","光速。真空の電気的性質（誘電率）と磁気的性質（透磁率）によって空間を伝わる速度が決まるという驚くべき式です。",1
"電磁波の速さ（媒質）","$v = \frac{c}{n} = \frac{c}{\sqrt{\varepsilon_r \mu_r}}$","物質中では誘電率や透磁率が増大するため、光速よりも伝搬速度が遅くなります。屈折率 $n$ の起源です。",2
"特性インピーダンス（真空）","$\eta_0 = \sqrt{\frac{\mu_0}{\varepsilon_0}} \approx 377 \Omega$","自由空間を伝わる電磁波の電界 $E$ と磁界 $H$ の比。空間そのものが持つ固有の抵抗値と言えます。",2
"境界条件（電界）","$E_{1t} = E_{2t}$","異なる物質の境界において、面に水平（接線）方向の電界成分は、境界をまたいでも変化せず連続します。",2
"境界条件（電束密度）","$D_{1n} - D_{2n} = \rho_s$","境界に垂直な電束密度の差は、その境界に存在する表面電荷密度に等しくなるという条件です。",2
"境界条件（磁界）","$H_{1t} - H_{2t} = K$","境界に水平な磁界の差は、境界を流れる表面電流密度に等しくなります。表面電流がなければ連続します。",2
"境界条件（磁束密度）","$B_{1n} = B_{2n}$","磁力線は途切れないため、異なる物質の境界であっても垂直な磁束密度成分は必ず連続（一致）します。",2
"ポアソン方程式","$\nabla^2 \phi = -\frac{\rho}{\varepsilon}$","空間に電荷 $\rho$ が分布しているとき、その場所の電位 $\phi$ がどのように変化するかを記述する微分方程式です。",2
"ラプラス方程式","$\nabla^2 \phi = 0$","電荷が存在しない空間において、電位分布が満たすべき滑らかな条件を記述する方程式です。",2
"ヘルムホルツ方程式","$(\nabla^2 + k^2)\psi = 0$","一定の周波数で振動する電磁波などが、空間をどのように伝わっていくかを記述する定常波動の方程式です。",2
"連続の式","$\nabla \cdot \mathbf{j} + \frac{\partial \rho}{\partial t} = 0$","電荷は突如消えたり現れたりしないという『電荷保存の法則』を微分形式で表したものです。",2
"ベクトルポテンシャル","$\mathbf{B} = \nabla \times \mathbf{A}$","磁束密度 $\mathbf{B}$ を導くための補助的なベクトル場。磁気的な現象をエネルギーや計算の観点から扱う際に重宝します。",2
"スカラ電位とポテンシャル","$\mathbf{E} = -\nabla \phi - \frac{\partial \mathbf{A}}{\partial t}$","電界の源は、静電気的な『高さの差』と、磁界の時間変化（ベクトルポテンシャルの変化）の2つがあることを示します。",2
"ローレンツゲージ","$\nabla \cdot \mathbf{A} + \frac{1}{c^2}\frac{\partial \phi}{\partial t} = 0$","電磁ポテンシャルの計算において、波動方程式の形を美しく整えるために導入される便利な数学的条件です。",2
"クーロンゲージ","$\nabla \cdot \mathbf{A} = 0$","静的な問題や放射のない系において、ベクトルポテンシャルの発散をゼロと定義して計算を簡略化する手法です。",2
"ビオ・サバールの法則","$d\mathbf{B} = \frac{\mu_0 I}{4\pi} \frac{d\mathbf{l} \times \hat{\mathbf{r}}}{r^2}$","電流の小さな破片（素片）が、ある地点に作る磁場の大きさと向きを求めるための基本式です。",2
"電位係数","$V_i = \sum p_{ij} Q_j$","複数の導体があるとき、ある導体の電位は自分自身の電荷だけでなく、周囲の導体が持つ電荷の影響も受けることを示す式です。",2
"容量係数・誘導係数","$Q_i = \sum c_{ij} V_j$","複数の導体があるとき、各導体に蓄えられる電荷がそれぞれの電位の重ね合わせで決まることを表す式です。",2
"導体表面の電界","$E = \frac{\sigma}{\varepsilon_0}$","導体のすぐ外側の電界強度は、その場所の表面電荷密度に比例し、常に面に垂直な方向を向きます。",1
"静電応力（電磁圧力）","$f = \frac{1}{2} \varepsilon E^2$","帯電した導体表面などが、電界によって外側へ引っ張られるように受ける単位面積あたりの力です。",2
"磁気エネルギー密度","$w_m = \frac{1}{2} BH$","磁界が存在する空間そのものが持っている、単位体積あたりのエネルギー量です。",2
"電気エネルギー密度","$w_e = \frac{1}{2} DE$","電界が存在する空間そのものが持っている、単位体積あたりのエネルギー量です。",2
"相互インダクタンス","$M = k \sqrt{L_1 L_2}$","2つのコイルがどれだけ磁気的に結合しているかを表す。一方の電流変化が他方に電圧を生む能力の強さです。",1
"フレミング左手の法則","力・磁界・電流","磁界中で電流が受ける力の向き。中指（電流）、人差し指（磁界）、親指（力）の順に対応します。",1
"フレミング右手の法則","速度・磁界・電圧","磁界中を動く導体に生じる誘導起電力の向き。中指（電圧）、人差し指（磁界）、親指（速度）に対応します。",1
"誘導起電力（直線導体）","$V = vBl \sin \theta$","磁束密度 $B$ の中を、長さ $l$ の棒が速度 $v$ で横切るとき、磁力線を切ることで発生する電圧です。",1
"環状ソレノイドの自己L","$L = \mu n^2 l S$","ドーナツ型の鉄芯に巻かれたコイルのインダクタンス。巻き数の2乗に比例するのが大きな特徴です。",2
"ブリッジ回路の平衡条件","$R_1 R_4 = R_2 R_3$","ホイートストンブリッジにおいて、中央の検流計に電流が流れない（電位差ゼロ）ための抵抗のバランス条件です。",1
